Company,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
CROMPTON,27-MAY-2016,04-APR-2022,1451 days,100000.0,57277.8191223325,-42.722180877667505,182.71045677614111,100.0,37369.058047792554,53.79255713830128,1380 days,103,102,1,-3146.1433469036856,50.0,4.601063355240573,-20.563410023328768,1.4740781790063293,-2.3181298869560485,2 days 19:45:52.941176470,8 days 15:03:31.764705882,0.5720314818626646,-388.0003679486646,-101.12397717372271,-0.24315028318001666,0.00033226500103082396,-19.03087044877077
CUMMINSIND,01-JAN-2016,04-APR-2022,1549 days,100000.0,33851.30773338134,-66.14869226661865,8.610897189064271,100.0,30728.252179297255,76.16904825325706,1463 days,99,99,0,0.0,50.505050505050505,7.141126358316486,-32.912741154250384,1.7301077246368282,-3.6441922817042927,3 days 02:52:48,12 days 13:13:28.163265306,0.4343168007614761,-668.1686087537244,-94.93568871636583,-0.2957483725578745,0.0010547784248839324,-19.02057486231689
DLF,01-JAN-2016,04-APR-2022,1549 days,100000.0,61201.73132877852,-38.79826867122148,218.63430686960234,100.0,37632.03563582879,74.29010280485232,1349 days,95,95,0,0.0,66.3157894736842,13.15288800058678,-40.16657807369518,2.657745091995029,-5.976082783375783,2 days 21:42:51.428571428,14 days 19:30:00,0.7667049010582576,-408.402828118122,-61.824519230147374,-0.14706401839151045,0.0031541789580223248,-18.909336981671828
DABUR,01-JAN-2016,04-APR-2022,1549 days,100000.0,62587.36414249162,-37.41263585750838,97.0513748191027,100.0,42454.94475774662,44.62919896851781,1415 days,108,108,0,0.0,51.85185185185185,8.748570536404776,-15.557587885125898,1.1478603721358902,-2.04950054669529,2 days 17:34:17.142857142,9 days 01:23:04.615384615,0.5669631647674428,-346.4132949769301,-131.159465927688,-0.23424698507315236,0.0003685231330164563,-19.060847944109362
DALBHARAT,05-FEB-2019,04-APR-2022,783 days,100000.0,32456.783363630748,-67.54321663636925,50.5825057295642,100.0,12449.051912889336,71.54135914391097,696 days,38,38,0,0.0,50.0,7.658056050472766,-36.67368156968995,1.6566643682821292,-6.777607206120242,2 days 08:50:31.578947368,15 days 00:00:00,0.2357136279997867,-1777.4530693781376,-71.81140687608651,-0.5705461874560417,0.0014335692293357585,-18.956861597438134
DIVISLAB,01-JAN-2016,04-APR-2022,1549 days,100000.0,74529.30797700469,-25.470692022995312,286.89032258064634,100.0,34052.19162853903,55.64174363926651,1527 days,97,97,0,0.0,60.824742268041234,10.964533278746355,-34.740769414354716,1.5992559055497484,-2.9527657058830528,2 days 13:01:01.016949152,10 days 21:28:25.263157894,0.7144461045515869,-262.5844538453124,-98.83815623012798,-0.12028177690025833,0.0007982235792796283,-19.027654746437992
DRREDDY,01-JAN-2016,04-APR-2022,1549 days,100000.0,35207.445593959186,-64.79255440604081,38.877629801196264,100.0,31869.232133170182,67.32600533387436,1523 days,97,97,0,0.0,37.11340206185567,5.539938438881885,-16.25459192479045,1.4420137764259862,-2.439846881052151,2 days 16:00:00,10 days 06:17:42.295081967,0.34520510677845834,-667.9644784127918,-110.20541811026646,-0.32389371664762034,0.0005019598184688361,-19.04223529168312
EDELWEISS,01-JAN-2016,04-APR-2022,1549 days,100000.0,7997.725213577214,-92.00227478642279,9.051724137931005,100.0,31883.378349064944,94.82385353728067,1033 days,87,87,0,0.0,54.02298850574713,8.299740442107913,-56.958445141898096,2.6273720827451013,-7.944522684924528,3 days 05:06:22.978723404,14 days 22:48:00,0.516665110560009,-1057.4974113381945,-54.557656880747864,-0.47304384250650733,0.0040352982634989,-18.85035853080998
EICHERMOT,01-JAN-2016,04-APR-2022,1549 days,100000.0,32156.453799150753,-67.84354620084925,44.434498023988624,100.0,32165.182396075383,72.94986392243614,1462 days,94,94,0,0.0,46.808510638297875,8.603228849466548,-30.628239963786868,1.7072997421799532,-3.5030192399478715,3 days 01:38:10.909090909,11 days 17:45:36,0.41979901757718174,-721.7398532005246,-86.8750565073227,-0.32157567453829233,0.0008118465641531292,-19.00429663795538
EMAMILTD,01-JAN-2016,04-APR-2022,1549 days,100000.0,25285.036832060796,-74.7149631679392,-54.24859728049354,100.0,27043.58529213991,82.68328195473825,1337 days,93,92,1,-1886.9506634262398,45.65217391304348,10.46334776266882,-35.66106561485733,1.924246770674761,-3.8221141299617774,3 days 23:25:42.857142857,12 days 08:38:24,0.37227283880553697,-791.6088315707925,-88.72899170504773,-0.33470131226314925,0.0014539940885450319,-19.00819740624954
